_empty_0,No,Reksadana,ISIN Code,Bloomberg Quote,Manajer Investasi,Bank Kustodian,Jenis,Kategori,Mata Uang,Dividen,NAB,1 Hari,1 Minggu,MtD,1 Bulan,3 Bulan,6 Bulan,YtD,1 Tahun,3 Tahun,5 Tahun,10 Tahun,Inception,Annualized Return - 1 Thn (%),Annualized Return - 3 Thn (%),Annualized Return - 5 Thn (%),Annualized Return - 10 Thn (%),St. Deviation - 1 Thn (%),St. Deviation - 3 Thn (%),St. Deviation - 5 Thn (%),St. Deviation - 10 Thn (%),Beta - 1 Thn,Beta - 3 Thn,Beta - 5 Thn,Beta - 10 Thn,Sharpe Ratio - 1 Thn,Sharpe Ratio - 3 Thn,Sharpe Ratio - 5 Thn,Sharpe Ratio - 10 Thn,Treynor Ratio - 1 Thn,Treynor Ratio - 3 Thn,Treynor Ratio - 5 Thn,Treynor Ratio - 10 Thn,Jensen Alpha - 1 Thn,Jensen Alpha - 3 Thn,Jensen Alpha - 5 Thn,Jensen Alpha - 10 Thn,Sortino Ratio - 1 Thn,Sortino Ratio - 3 Thn,Sortino Ratio - 5 Thn,Sortino Ratio - 10 Thn,Tracking Error - 1 Thn (%),Tracking Error - 3 Thn (%),Tracking Error - 5 Thn (%),Tracking Error - 10 Thn (%),Max Drawdown - 1 Thn (%),Max Drawdown - 3 Thn (%),Max Drawdown - 5 Thn (%),Max Drawdown - 10 Thn (%),Sharpe Ratio Performance,Sharpe Ratio Performance 1 Thn,Sharpe Ratio Performance 3 Thn,Sharpe Ratio Performance 5 Thn,Sharpe Ratio Performance 10 Thn,Dana Kelolaan,Unit Penyertaan,Tanggal Peluncuran,Last Update Dana Kelolaan,Expense Ratio (Tahun),Investment Manager Fee,Minimum Subscription,Last Update Fund Fact Sheet,Last Update Portfolio,Last Update,NAB (Div.Reinvest),1 Hari (%) (Div.Reinvest),1 Minggu (%) (Div.Reinvest),MtD (%) (Div.Reinvest),1 Bulan (%) (Div.Reinvest),3 Bulan (%) (Div.Reinvest),6 Bulan (%) (Div.Reinvest),YtD (%) (Div.Reinvest),1 Tahun (%) (Div.Reinvest),3 Tahun (%) (Div.Reinvest),5 Tahun (%) (Div.Reinvest),10 Tahun (%) (Div.Reinvest),Inception (%) (Div.Reinvest),NAB (Div.Tunai),1 Hari (%) (Div.Tunai),1 Minggu (%) (Div.Tunai),MtD (%) (Div.Tunai),1 Bulan (%) (Div.Tunai),3 Bulan (%) (Div.Tunai),6 Bulan (%) (Div.Tunai),YtD (%) (Div.Tunai),1 Tahun (%) (Div.Tunai),3 Tahun (%) (Div.Tunai),5 Tahun (%) (Div.Tunai),10 Tahun (%) (Div.Tunai),Inception (%) (Div.Tunai),scraped_at,page_number
,240,BATAVIA PROTEKSI MAXIMA 53,IDN000523008,,"Batavia Prosperindo Aset Manajemen, PT","Bank Mandiri, Tbk, PT",Terproteksi,Konvensional,IDR,Ya,"1.001,9400","0,02%","0,14%","0,14%","-0,78%","-0,15%","-0,81%","-1,30%","0,14%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135.331.186.771,19","135.255.000,00",18-Jan-2024,Jul-2026,,Maks. 5%,,,,07-Agt-2026,"1.091,3995","0,02%","0,14%","0,14%","0,65%","1,28%","2,04%","2,99%","6,00%",,,,,"1.087,9537","0,02%","0,13%","0,13%","0,60%","1,23%","1,91%","2,82%","5,72%",,,,,2026-08-10T10:19:57.645847,3
,241,BATAVIA PROTEKSI MAXIMA 56,IDN000523909,,"Batavia Prosperindo Aset Manajemen, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.009,8141","0,02%","0,12%","0,12%","0,52%","-1,33%","0,16%","-2,05%","0,32%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131.138.579.046,35","130.015.600,00",09-Jul-2024,Jul-2026,,,"Rp 100.000,-",,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645856,3
,242,BATAVIA PROTEKSI MAXIMA 57,IDN000538006,,"Batavia Prosperindo Aset Manajemen, PT","Bank OCBC NISP, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.004,8771","0,02%","0,11%","0,11%","-2,18%","-1,28%","0,08%","-2,04%","0,08%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"501.946.676.141,24","500.034.500,00",20-Okt-2022,Jul-2026,,,"Rp 5.000.000,-",,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645864,3
,243,BATAVIA PROTEKSI MAXIMA 58,,,"Batavia Prosperindo Aset Manajemen, PT","Bank OCBC NISP, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.006,4869","0,02%","0,11%","0,11%","-2,31%","-1,35%","0,12%","-2,13%","0,17%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450.214.691.594,17","447.820.400,00",04-Des-2024,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645872,3
,244,BATAVIA PROTEKSI MAXIMA 63,,,"Batavia Prosperindo Aset Manajemen, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.022,2935","0,01%","0,09%","0,09%","0,39%","1,16%","0,82%","1,29%",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"814.062.086.747,83","797.008.600,00",16-Okt-2025,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645880,3
,245,BATAVIA PROTEKSI MAXIMA 65,IDN000581204,,"Batavia Prosperindo Aset Manajemen, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.011,7820","0,01%","0,09%","0,09%","0,41%","0,45%","0,98%",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.010.857.029.538,04","1.000.014.850,00",21-Jan-2026,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645887,3
,246,BATAVIA PROTEKSI MAXIMA 66,,,"Batavia Prosperindo Aset Manajemen, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.019,9581","0,01%","0,09%","0,09%","0,42%","1,25%",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.253.385.810.374,45","1.230.017.400,00",10-Feb-2026,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645895,3
,247,BATAVIA PROTEKSI MAXIMA 67,IDN000582806,,"Batavia Prosperindo Aset Manajemen, PT","Bank OCBC NISP, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.019,5576","0,02%","0,11%","0,11%","0,47%","1,41%",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"814.802.333.498,91","800.018.400,00",01-Apr-2026,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645903,3
,248,BATAVIA PROTEKSI MAXIMA 68,IDN000585007,,"Batavia Prosperindo Aset Manajemen, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.019,6161","0,02%","0,11%","0,11%","0,48%","1,41%",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.375.112.748.888,75","1.350.102.300,00",01-Apr-2026,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645911,3
,249,BATAVIA PROTEKSI MAXIMA 69,,,"Batavia Prosperindo Aset Manajemen, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.015,4771","0,02%","0,11%","0,11%","0,48%","1,44%",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.308.565.816.570,68","1.290.018.300,00",29-Apr-2026,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645920,3
,250,BATAVIA PROTEKSI MAXIMA 71,IDN000590007,,"Batavia Prosperindo Aset Manajemen, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.003,9086","0,02%","0,11%","0,11%","0,04%",-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.263.571.547.596,49","1.260.021.800,00",02-Jun-2026,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645927,3
,251,BATAVIA PROTEKSI MAXIMA USD 1,,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Terproteksi,Konvensional,USD,Ya,"0,997800","0,01%","0,08%","0,08%","-1,42%","-0,78%","0,03%","-1,18%","0,43%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.407.561,73","6.433.753,40",13-Sep-2024,Jul-2026,,Maks. 5%,,,,07-Agt-2026,,"0,00%",-,-,-,-,-,-,-,,,,,"1,014910","0,01%","0,08%","0,08%","-1,40%","-0,71%","0,03%","-1,16%","0,43%",,,,,2026-08-10T10:19:57.645936,3
,252,BATAVIA PROTEKSI SYARIAH MAXIMA 2,IDN000524709,,"Batavia Prosperindo Aset Manajemen, PT","Bank Syariah Indonesia, Tbk, PT",Terproteksi,Sharia,IDR,Ya,"1.006,2200","0,02%","0,11%","0,11%","-0,54%","-0,48%","-0,38%","-0,24%","-0,23%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192.583.237.339,23","191.597.689,36",18-Mar-2024,Jul-2026,,Maks 5%,"Rp 100.000,-",,,07-Agt-2026,"1.090,7861","0,02%","0,11%","0,11%","0,47%","0,98%","2,41%","3,01%","5,34%",,,,,"1.087,6039","0,01%","0,10%","0,10%","0,44%","0,93%","2,26%","2,84%","5,08%",,,,,2026-08-10T10:19:57.645944,3
,253,BATAVIA PROTEKSI SYARIAH MAXIMA 3,,,"Batavia Prosperindo Aset Manajemen, PT","Bank Syariah Indonesia, Tbk, PT",Terproteksi,Sharia,IDR,Ya,"1.015,8125","0,02%","0,11%","0,11%","0,08%","0,20%","0,40%","0,57%","0,74%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"304.416.772.474,96","300.017.400,00",04-Des-2024,Jul-2026,,,,,,07-Agt-2026,"1.092,5970","0,02%","0,11%","0,11%","0,50%","1,51%","2,55%","3,18%","5,61%",,,,,"1.089,3248","0,02%","0,11%","0,11%","0,47%","1,01%","2,40%","3,00%","5,34%",,,,,2026-08-10T10:19:57.645952,3
,254,BATAVIA PROTEKSI ULTIMA 11,IDN000338506,,"Batavia Prosperindo Aset Manajemen, PT","BANK DBS INDONESIA - CUSTODY, PT",Terproteksi,Konvensional,IDR,Tidak,"1.000,2900","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201.107.180,00","200.000,00",31-Mei-2018,Jul-2026,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645961,3
,255,BATAVIA PROTEKSI ULTIMA 21,IDN000349800,,"Batavia Prosperindo Aset Manajemen, PT","BANK DBS INDONESIA - CUSTODY, PT",Terproteksi,Konvensional,IDR,Ya,"974,7100","0,02%","0,14%","0,14%","0,61%","-0,08%","-0,17%","0,58%","-0,32%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"499.349.504.871,00","513.000.000,00",09-Agt-2018,Jul-2026,,,,,,07-Agt-2026,"1.090,2164","0,02%","0,14%","0,14%","0,61%","1,82%","3,63%","4,41%","7,42%",,,,,"1.083,5681","0,02%","0,12%","0,12%","0,55%","1,65%","3,30%","4,02%","6,85%",,,,,2026-08-10T10:19:57.645972,3
,256,BATAVIA PROVIDENTIA BALANCED FUND,IDN000433604,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Campuran,Konvensional,IDR,Tidak,"1.489,8700","1,32%","2,67%","2,67%","5,73%","-2,94%","-7,72%","-7,56%","-2,46%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.022.078.291,00","15.865.066,38",23-Apr-2020,Jul-2026,,,"Rp 100.000,-",,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645980,3
,257,BATAVIA SAHAM CEMERLANG,IDN000303906,,"Batavia Prosperindo Aset Manajemen, PT","Bank Mandiri, Tbk, PT",Saham,Konvensional,IDR,Tidak,"1.045,8706","1,47%","3,33%","3,33%","6,42%","-1,55%","-7,39%","-6,54%","-3,48%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.223.252.473.901,32","1.208.596.745,28",09-Okt-2017,Jul-2026,,Maks. 3%,"Rp. 100.000,-",,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645987,3
,258,BATAVIA SAHAM ESG IMPACT,IDN000388709,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Saham,Konvensional,IDR,Tidak,"895,4900","1,59%","3,40%","3,40%","6,15%","-1,47%","-7,83%","-8,31%","-4,79%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.021.424.278,00","13.880.501,33",09-Sep-2019,Jul-2026,,Maks 3.00%,Rp. 10.000,29-Mei-2026,29-Mei-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.645995,3
,259,BATAVIA SAHAM SEJAHTERA,IDN000271103,,"Batavia Prosperindo Aset Manajemen, PT","Bank Mandiri, Tbk, PT",Saham,Konvensional,IDR,Tidak,"1.054,8223","1,47%","3,34%","3,34%","6,43%","-1,58%","-7,38%","-6,53%","-3,43%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"632.098.809.648,37","619.254.793,81",11-Apr-2017,Jul-2026,,Maks. 3%,"Rp. 100.000,-",30-Mei-2024,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646002,3
,260,BATAVIA SMART LIQUID ETF,IDN000333903,,"Batavia Prosperindo Aset Manajemen, PT",DEUTSCHE BANK A. G. - CUSTODY,Saham,ETF,IDR,Tidak,"449,0521","1,47%","3,15%","3,15%","6,86%","-3,96%","-10,01%","-11,38%","-6,63%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.410.742.894,34","35.400.000,00",10-Apr-2018,Jul-2026,,Maks 3.00%,1 Unit Kreasi atau 1 lot,29-Mei-2026,29-Mei-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646011,3
,261,BATAVIA SRI KEHATI ETF,IDN000384500,,"Batavia Prosperindo Aset Manajemen, PT",DEUTSCHE BANK A. G. - CUSTODY,Saham,"ETF, Index",IDR,Tidak,"403,2852","1,32%","2,80%","2,80%","5,58%","-5,76%","-12,97%","-13,54%","-7,11%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"793.900.955.040,03","2.023.600.000,00",21-Mar-2019,Jul-2026,,Maks 3.00%,1 Unit Kreasi atau 1 lot,29-Mei-2026,29-Mei-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646020,3
,262,BATAVIA TECHNOLOGY SHARIA EQUITY USD,IDN000475308,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Reksadana Global,Sharia,USD,Tidak,"1,525700","1,42%","5,54%","5,54%","0,90%","3,54%","19,52%","16,77%","24,02%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175.867.386,29","121.795.408,29",16-Feb-2022,Jul-2026,,Maks 3.00%,"USD 10.000,-",30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646028,3
,263,BATAVIA US FRANCHISE SHARIA EQUITY USD,IDN000559705,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Reksadana Global,Sharia,USD,Tidak,"1,040400","0,90%","3,94%","3,94%","1,33%","-2,02%","4,04%","4,04%",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.598.004,20","5.598.769,03",10-Sep-2025,Jul-2026,,Maks. 3%,"USD 10.000,-",29-Mei-2026,29-Mei-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646037,3
,264,BATAVIA USD BALANCED ASIA,IDN000111002,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Campuran,Konvensional,USD,Tidak,"1,245700","-0,03%","0,12%","0,12%","-0,18%","-1,10%","-1,37%","-1,71%","-1,39%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.353.732,22","17.181.123,42",13-Des-2010,Jul-2026,,Maks 2%,USD 500,30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646045,3
,265,BATAVIA USD BOND FUND,IDN000483203,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Pendapatan Tetap,Konvensional,USD,Tidak,"1,057900","-0,05%","0,16%","0,16%","-0,26%","-0,82%","-0,88%","-1,01%","-0,05%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.281.109,75","20.170.729,51",18-Okt-2022,Jul-2026,,Maks. 1.5%,"USD 100,-",29-Mei-2026,29-Mei-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646054,3
,266,BATAVIA USD MONEY MARKET,IDN000568409,,"Batavia Prosperindo Aset Manajemen, PT",PT Bank HSBC Indonesia,Pasar Uang,Konvensional,USD,Tidak,"1,017900","0,01%","0,06%","0,06%","0,21%","0,63%","1,18%","1,46%",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.581.355,70","42.883.618,46",07-Nov-2025,Jul-2026,,"Maks. 2,00%","USD 100,-",29-Mei-2026,29-Mei-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646063,3
,267,BISNIS-27,,,,,,Index,IDR,Tidak,"439,8400","1,21%","2,78%","2,78%","7,06%","-8,53%","-17,27%","-20,49%","-13,47%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646072,3
,268,BMI INDO OBLIGASI MANTAP,IDN000458809,,"Berdikari Manajemen Investasi, PT","KEB Hana Bank Indonesia, PT",Pendapatan Tetap,Konvensional,IDR,Tidak,"1.257,9183","-0,03%","0,08%","0,08%","0,42%","0,63%","1,01%","0,76%","4,30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.757.107.083,70","18.901.229,04",28-Apr-2021,Jul-2026,,Maks 1.5%,Rp 100.000,30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646080,3
,269,BMI INDO PASAR UANG,IDN000459401,,"Berdikari Manajemen Investasi, PT","Bank Mega, Tbk, PT",Pasar Uang,Konvensional,IDR,Tidak,"1.256,7933","0,02%","0,11%","0,11%","0,50%","1,38%","2,73%","3,23%","5,69%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.522.111.252,61","29.091.096,57",28-Apr-2021,Jul-2026,,Maks 1%,Rp 100.000,30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646088,3
,270,BMI INDO SAHAM ANDALAN,IDN000459500,,"Berdikari Manajemen Investasi, PT","Bank Mega, Tbk, PT",Saham,Konvensional,IDR,Tidak,"1.294,0390","1,10%","2,97%","2,97%","10,06%","-4,36%","-4,16%","-14,67%","0,94%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.545.192.860,75","35.445.381,62",27-Apr-2021,Jul-2026,,Maks 3%,Rp 100.000,30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646096,3
,271,BNI AM AMANAH II,IDN000454907,,"BNI Asset Management, PT","Bank Cimb Niaga, Tbk, PT",Terproteksi,Sharia,IDR,Ya,"631,6789","0,00%","0,00%","0,00%","-0,01%","0,03%","-29,18%","-31,09%","-33,44%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.430.655.023,93","83.000.000,00",02-Mar-2021,Jul-2026,,,,,,07-Agt-2026,"888,2120","0,00%","0,00%","0,00%","-0,01%","0,03%","-29,18%","-31,09%","-32,03%",,,,,"967,4289","0,00%","0,00%","0,00%","-0,01%","0,02%","-21,20%","-22,76%","-23,53%",,,,,2026-08-10T10:19:57.646105,3
,272,BNI AM DANA LIKUID KELAS A,IDN000149408,,"BNI Asset Management, PT","BANK DBS INDONESIA - CUSTODY, PT",Pasar Uang,Konvensional,IDR,Tidak,"2.038,6200","0,02%","0,11%","0,11%","0,51%","0,85%","1,64%","2,05%","4,06%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"298.161.655.556,00","146.413.281,58",27-Des-2012,Jul-2026,,"Maks. 1,5%",Rp 10.000,30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646112,3
,273,BNI AM DANA PASAR UANG KEMILAU KELAS A,IDN000195906,,"BNI Asset Management, PT","BANK DBS INDONESIA - CUSTODY, PT",Pasar Uang,Konvensional,IDR,Tidak,"2.410,3000","0,01%","0,08%","0,08%","0,35%","0,82%","1,40%","1,75%","3,48%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464.719.672.986,00","192.958.067,04",18-Mar-2015,Jul-2026,,"Maks. 1,25%",Rp 1.000,30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646121,3
,274,BNI AM IDX HIGH DIVIDEND 20 KELAS R1,IDN000493707,,"BNI Asset Management, PT",STANDARD CHARTERED BANK - CUSTODY,Saham,Index,IDR,Tidak,"946,8100","1,07%","1,82%","1,82%","5,11%","-5,56%","-10,55%","-9,75%","-3,76%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147.680.094.286,14","158.814.631,77",25-Okt-2022,Jul-2026,,Maksimum 3%,"Rp10,000",30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646129,3
,275,BNI AM IDX PEFINDO PRIME BANK KELAS I2,IDN000519907,,"BNI Asset Management, PT",STANDARD CHARTERED BANK - CUSTODY,Saham,Index,IDR,Ya,"655,0500","1,26%","1,65%","1,65%","4,40%","-6,47%","-15,70%","-16,05%","-14,73%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.254.253.614,75","51.606.175,98",27-Feb-2024,Jul-2026,,Maksimum 1.50% per tahun,"Rp 1.000.000.000,-",,,07-Agt-2026,,"0,00%",-,-,-,-,-,-,-,,,,,"683,0500","1,21%","1,59%","1,59%","4,21%","-2,47%","-12,09%","-12,46%","-11,08%",,,,,2026-08-10T10:19:57.646138,3
,276,BNI AM IDX PEFINDO PRIME BANK KELAS R1,IDN000519709,,"BNI Asset Management, PT",STANDARD CHARTERED BANK - CUSTODY,Saham,Index,IDR,Tidak,"690,0000","1,26%","1,65%","1,65%","4,38%","-2,29%","-11,99%","-12,38%","-11,10%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182.886.637.600,26","269.424.325,03",01-Nov-2023,Jul-2026,,Maks.  3.%,"Rp 10.000,-",30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646146,3
,277,BNI AM PEFINDO I GRADE KELAS I2,IDN000515608,,"BNI Asset Management, PT",STANDARD CHARTERED BANK - CUSTODY,Saham,Index,IDR,Tidak,"676,6900","1,82%","2,95%","2,95%","7,12%","-9,97%","-22,22%","-27,35%","-22,31%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.161.178.176,63","23.066.202,41",18-Mar-2024,Jul-2026,,Maksimum 1.50%,Rp 1.000.000.000,,,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646154,3
,278,BNI AM PEFINDO I GRADE KELAS R1,IDN000515400,,"BNI Asset Management, PT",STANDARD CHARTERED BANK - CUSTODY,Saham,Index,IDR,Tidak,"678,9300","1,82%","2,94%","2,94%","7,07%","-10,11%","-22,44%","-27,61%","-22,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.531.864.846,02","5.355.131,31",13-Sep-2023,Jul-2026,,Maksimum 3% per tahun,"Rp 10.000,-",30-Jun-2026,30-Jun-2026,07-Agt-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-08-10T10:19:57.646163,3
